,Tweets
106,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
107,"@YearOfRat @centerofright A small budget, well made kannada movie, kantara has collected about 50 cr in 10 days &amp; going strong. But 450 cr after spending 750 cr brahmastra will be celebrated- idiots. My guess is kanatara will do about 200 cr once the dubbed versions are out. I hope it does even well"
108,"“Out of fear, you draw back and you draw back...until you step on the very people you ought to be defending.” 
Been thinking about this, especially the part of me that refuses to believe that the Brahmastra we watched was what was intended years ago
https://t.co/wKMcbw70Wo"
109,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
110,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
111,@taran_adarsh Biggest opener after brahmastra loading 🔥🔥
112,"Brahmastra Boxoffice Collection Asli sach - Verdict Hit ya Flop? https://t.co/58AKYGbZLM

#brahmastraboxoffice #BrahmashtraReview #Brahmashtra #VikramVedha #vikramvedhareview  brahmastra vs Vikram vidha collection Boxoffice"
113,@Rupesh54262317's account has been withheld in India in response to a legal demand. Learn more.
114,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
115,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
116,RT @snowspeaketh: The no of body types #RanbirKapoor had in the shooting span of #Brahmastra is insane(there are more). Even the muscular v…
117,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
118,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
119,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
120,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
121,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
122,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
123,"@Rohan3242 @sus39057121 @SumitkadeI Ask @AndhraBoxOffice to present the figures day wise,weekly and area wise. This account hate Bollywood movies.

Even I can state any figures. 
All trade Analysts hv presented figures day wise of #Brahmastra. 
@SacnilkEntmt provides day wise figures based on algorithms."
124,"#Brahmastra    Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
125,"RT @AishRanliaLoove: do you guys still think it's ranbir who play DEV in #brahmastra ? because hrithik roshan has the same body, and also m…"
126,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
127,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
128,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
129,"RT @htcity: #RanbirKapoor wins hearts across the internet as he flaunts his chiseled body in unseen photos from #Brahmastra 

#Ranbir #Acto…"
130,RT @SonalBh151093: What’s HAPPENING!! Brahmastra bruh give me a moment to breathe! Has everyone forgotten how to act! #brahmastrareview #st…
131,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
132,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
133,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
134,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
135,@Harmindarboxoff @kamaalrkhan @taran_adarsh Brahmastra is a HIT that's it 🙌🏼 producer's have recovered their budget 💯
136,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
137,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
138,@browniecupx @alianator07 @bhansali_produc @aliaa08 Aryan Mukherji doesn't know what to do with her. Such a shame that he wasted her in the movie. Should have seen her bio before writing her role in Brahmastra.  Js
139,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
140,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
141,"@PeterKueng1 @Harmindarboxoff Nikal bc Flop Retired Disaster Queen #KanganaRanaut bot 😂😂😂 

Brahmastra 1st day Parking collection&gt;&gt;&gt;Thalaivi+Dhaakad Combined Lifetime 😭😭

Sharam kar 🤦🏻‍♂️🤷🏻‍♂️ https://t.co/nxZG2qcqtw"
142,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
143,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
144,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
145,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
146,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
147,"RT @tollymasti: #Brahmastra 28 Days collections ✅
#Ranbirkapoor #AliaBhatt #Nagarjuna #Mouniroy #AmitabhBachchan 
Follow us 👉 @tollymasti h…"
148,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
149,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
150,RT @movieboxreports: Based on the trending #VikramVedha is performing better than #Brahmastra as WOM is good compare to the later. The mark…
151,"Top Movies 2022 11 days WW collection

1) #RRR - ₹ 923cr

2) #KGF2 - ₹ 900cr

3) #PonniyinSelvan - ₹ 400cr

4) #Brahmastra - ₹ 356cr"
152,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
153,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
154,"@HimeshMankad Biggest opener after brahmastra,20+ opening 🔥🔥🔥 where 6 unglions and prkians 🤣🤣🤣"
155,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
156,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
157,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
158,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
159,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
160,RT @patopedia: Post blockbuster success of Liger &amp; Brahmastra .. KJo has decided to delete his Twitter account. - Sources
161,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
162,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
163,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
164,"#Brahmastra #top5 states by show count
#Oct11Tue
  ├  #Maharashtra  ~79
  ├  #UttarPradesh  ~60
  ├  #Gujarat  ~57
  ├  #Delhi  ~32
  ├  #AndhraPradesh  ~21 https://t.co/udswgDXlaP"
165,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
166,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
167,"RT @FireDhiraj: Don't compare brahmastra VFX with Hollywood but you can compare #RamSetu movie with Hollywood:Man Of culture(2022)
@badal_b…"
168,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
169,"#Brahmastra #top5 states by show count
#Oct11Tue
  ├  #Maharashtra  ~79
  ├  #UttarPradesh  ~60
  ├  #Gujarat  ~57
  ├  #Delhi  ~32
  ├  #AndhraPradesh  ~21 https://t.co/bLx1lwzO4g"
170,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
171,"RT @FireDhiraj: Don't compare brahmastra VFX with Hollywood but you can compare #RamSetu movie with Hollywood:Man Of culture(2022)
@badal_b…"
172,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
173,"Don't compare brahmastra VFX with Hollywood but you can compare #RamSetu movie with Hollywood:Man Of culture(2022)
@badal_bnftv @comicverseyt @pjexplained

#RamSetuTrailer https://t.co/77n0wbo5jW"
174,"Answer the question below. Enhance, refine, and accelerate your learning with ""UPSC Practice"".

🪔 Get the ""UPSC Practice"" Mobile App https://t.co/4TB0E3mCki Gaa
#Geography

🇮🇳 https://t.co/9vLIhKOi5d #Brahmastra #Queen #Elizabeth #ViratKohli

https://t.co/0e7WgtDEXi https://t.co/07ol8rBgMe"
175,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
176,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
177,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
178,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
179,@samuraixflynn @wookieegirl @curiouS_parth Good one! Kohinoor And Brahmastra reversal!
180,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
181,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
182,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
183,"@curiouS_parth Matlab Dev fir break dance karega Bramhastra 2 me. Get ready Team Astra!!! NaachAstra is joining the #Astraverse
#Brahmastra"
184,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
185,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
186,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
187,RT @amitjain002: @iSangitaC It's already in the top 5 hindi releases of this year! 1. Brahmastra 2. Kashmir Files 3. Bhool Bhulaiya 2 4. Ga…
188,"Newzealand gross till Oct 9th (NZ$)

#Brahmastra $ 409,285
#PonniyinSelvan1 $ 154,025
#VikramVedha $ 125,830
#BaabeBhangraPaundeNe $ 28,529
#Godfather $ 11,380
#GoodBye $ 8,328"
189,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
190,RT @movieboxreports: Based on the trending #VikramVedha is performing better than #Brahmastra as WOM is good compare to the later. The mark…
191,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
192,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
193,"Kween Archu used her brahmastra ""sillbatta"" finally sillbatta is getting it's deserved screen time. 😭🤌"
194,"RT @ErayCr: Karan Johar quit Twitter, because after a point even the mega PR couldn’t stop questions being asked—especially over the fake B…"
195,"RT @starstudios_: The Guru who taught our hearts to ignite every time we see him on screen. Happy Birthday, Big B! @SrBachchan ❤️

#HappyBi…"
